Id,id,state,abbr,income,doctor
0400000US01,1,Alabama,AL,59464,17.4
0400000US02,2,Alaska,AK,89094,11.9
0400000US04,4,Arizona,AZ,68103,15.5
0400000US05,5,Arkansas,AR,57693,18.2
0400000US06,6,California,CA,88595,13.5
0400000US08,8,Colorado,CO,82295,13.1
0400000US09,9,Connecticut,CT,100948,11.3
0400000US10,10,Delaware,DE,78773,10.8
0400000US11,11,District of Columbia,DC,103525,10.5
0400000US12,12,Florida,FL,67510,17.6
0400000US13,13,Georgia,GA,68820,19
0400000US15,15,Hawaii,HI,86866,8.7
0400000US16,16,Idaho,ID,64115,15.8
0400000US17,17,Illinois,IL,79379,12.4
0400000US18,18,Indiana,IN,64422,15.1
0400000US19,19,Iowa,IA,69618,8.8
0400000US20,20,Kansas,KS,71045,12.5
0400000US21,21,Kentucky,KY,59057,15.9
0400000US22,22,Louisiana,LA,63728,17.5
0400000US23,23,Maine,ME,65842,10.9
0400000US24,24,Maryland,MD,97016,10.1
0400000US25,25,Massachusetts,MA,95404,8.3
0400000US26,26,Michigan,MI,66794,14.6
0400000US27,27,Minnesota,MN,81824,9.2
0400000US28,28,Mississippi,MS,54887,19.4
0400000US29,29,Missouri,MO,65169,13.7
0400000US30,30,Montana,MT,62309,11.9
0400000US31,31,Nebraska,NE,68359,11.8
0400000US32,32,Nevada,NV,67029,17.3
0400000US33,33,New Hampshire,NH,86622,11.1
0400000US34,34,New Jersey,NJ,99055,14
0400000US35,35,New Mexico,NM,61470,17.2
0400000US36,36,New York,NY,86563,14
0400000US37,37,North Carolina,NC,65099,16.2
0400000US38,38,North Dakota,ND,79136,7
0400000US39,39,Ohio,OH,66252,13.1
0400000US40,40,Oklahoma,OK,64584,15
0400000US41,41,Oregon,OR,69210,14.4
0400000US42,42,Pennsylvania,PA,73112,11.8
0400000US44,44,Rhode Island,RI,77146,11.9
0400000US45,45,South Carolina,SC,61903,18.1
0400000US46,46,South Dakota,SD,66580,10
0400000US47,47,Tennessee,TN,62734,15.5
0400000US48,48,Texas,TX,75557,17.6
0400000US49,49,Utah,UT,77413,14.3
0400000US50,50,Vermont,VT,69973,9.1
0400000US51,51,Virginia,VA,88457,13.1
0400000US53,53,Washington,WA,81218,12.3
0400000US54,54,West Virginia,WV,54877,16.5
0400000US55,55,Wisconsin,WI,68953,10.6
0400000US56,56,Wyoming,WY,72305,11.8
0400000US72,72,Puerto Rico,PR,29976,12.2
